	shannon_entropy
14989.soil.hip.SHSU.2016.011.2016.05.02.day18	5.0478091651278865
14989.soil.hip.SHSU.2016.011.2016.05.03.day19	5.5354873185214615
14989.soil.hip.SHSU.2016.011.2016.05.04.day20	5.332552644117343
14989.soil.hip.SHSU.2016.011.2016.05.05.day21	5.574011011435419
14989.soil.hip.SHSU.2016.024.2016.04.19.day5	3.190373146221465
14989.soil.hip.SHSU.2016.024.2016.04.22.day8	5.246767274523957
14989.soil.hip.SHSU.2016.024.2016.04.23.day9	4.377236372262267
14989.soil.hip.SHSU.2016.024.2016.04.24.day10	5.07322430784937
14989.soil.hip.SHSU.2016.024.2016.04.26.day12	4.4573862046570865
14989.soil.hip.SHSU.2016.024.2016.04.27.day13	5.527313882282327
14989.soil.hip.SHSU.2016.024.2016.04.28.day14	5.685683419240284
14989.soil.hip.SHSU.2016.024.2016.04.29.day15	5.829577122762031
14989.soil.hip.SHSU.2016.024.2016.04.30.day16	7.042713896729812
14989.soil.hip.SHSU.2016.024.2016.05.01.day17	5.935120595793281
14989.soil.hip.SHSU.2016.024.2016.05.02.day18	5.085306507778965
14989.soil.hip.SHSU.2016.024.2016.05.03.day19	3.6834062986173057
14989.soil.hip.SHSU.2016.024.2016.05.04.day20	5.054017681120574
14989.soil.hip.SHSU.2016.024.2016.05.05.day21	6.274390452027376
14989.soil.hip.UTK.K016.01.2016.04.19.day15	4.245235348645251
14989.soil.hip.UTK.K016.01.2016.04.20.day16	3.462237742827302
14989.soil.hip.UTK.K016.02.2016.04.19.day7	6.741385003112801
14989.soil.hip.UTK.K016.02.2016.04.20.day8	6.837695525853159
14989.soil.hip.UTK.K016.02.2016.04.21.day9	7.4855978086542425
14989.soil.hip.UTK.K016.02.2016.04.22.day10	7.018390243525742
14989.soil.hip.UTK.K016.02.2016.04.23.day11	6.380586478834064
14989.soil.hip.UTK.K016.02.2016.05.02.day20	6.8567717774304295
14989.soil.hip.UTK.K016.03.2016.05.22.day17	5.426826214000248
14989.soil.hip.UTK.K016.03.2016.05.23.day18	4.11091917193897
14989.soil.hip.UTK.K016.03.2016.05.24.day19	5.8265265178741705
14989.soil.hip.UTK.K016.03.2016.05.25.day20	5.0137244569583395
14989.soil.hip.UTK.K016.03.2016.05.26.day21	5.423571085455897
